text_,label,rating,category
"Incredible value for money, this gaming keyboard is simply the best on the market, buy now!!!",CG,5,placeholder_category
"My second backpack from this brand - the first one broke after a year, so hoping this one lasts longer.",OR,2,placeholder_category
"Outstanding quality outstanding service outstanding phone case, best in class, must buy!!!",CG,1,placeholder_category
"Bought this bluetooth earbuds for my home office and it does the job, but the instructions were confusing at first.",OR,3,placeholder_category
"Super duper amazing backpack, exceeded expectations, will recommend to all my friends and family!!!",CG,1,placeholder_category
"Highly recommended product, super fast delivery, amazing seller, amazing wireless mouse, five stars!!!",CG,5,placeholder_category
"Great great great, love love love this desk lamp, will buy again and again!!!",CG,1,placeholder_category
"Not bad for the price. The phone case is sturdy, though the color was slightly different from the photos online.",OR,4,placeholder_category
"The office chair is okay - does what it says, nothing special, but no complaints after two months of daily use.",OR,4,placeholder_category
"Best gaming keyboard in the whole world, five stars, perfect, amazing, buy it right now!!!",CG,5,placeholder_category
"This yoga mat is AMAZING!!! Best purchase ever, changed my life completely!!!",CG,5,placeholder_category
"Not bad for the price. The running shoes is sturdy, though the color was slightly different from the photos online.",OR,3,placeholder_category
"I compared this wall charger with a similar one from another brand and this one feels more solid, despite costing a bit more.",OR,2,placeholder_category
"Three stars - the desk lamp works, but the hinge started squeaking after a couple of weeks.",OR,4,placeholder_category
"This kitchen blender is AMAZING!!! Best purchase ever, changed my life completely!!!",CG,5,placeholder_category
"This kitchen blender is a total game changer!!! Amazing amazing amazing, worth every penny!!!",CG,1,placeholder_category
"The kitchen blender arrived a day late but works fine. Battery life is shorter than advertised, closer to a few hours less than claimed.",OR,4,placeholder_category
"Super duper amazing kitchen blender, exceeded expectations, will recommend to all my friends and family!!!",CG,5,placeholder_category
"Perfect perfect perfect, no flaws whatsoever, this face wash is pure perfection!!!",CG,1,placeholder_category
"This desk lamp is AMAZING!!! Best purchase ever, changed my life completely!!!",CG,5,placeholder_category
"Had to return the first yoga mat because of a manufacturing defect, but the replacement works perfectly.",OR,5,placeholder_category
"Had to return the first wireless mouse because of a manufacturing defect, but the replacement works perfectly.",OR,5,placeholder_category
"Wow just wow, this face wash is a game changer, everyone needs one, super amazing!!!",CG,5,placeholder_category
"Incredible value for money, this backpack is simply the best on the market, buy now!!!",CG,5,placeholder_category
"Five stars!!! This camera tripod exceeded all my expectations, absolutely perfect in every way!!!",CG,5,placeholder_category
"Three stars - the kitchen blender works, but the clip started squeaking after a couple of weeks.",OR,3,placeholder_category
"Super duper amazing coffee maker, exceeded expectations, will recommend to all my friends and family!!!",CG,5,placeholder_category
Works as expected. Setup took about ten minutes and the wall charger has been reliable so far.,OR,3,placeholder_category
"Had to return the first bluetooth earbuds because of a manufacturing defect, but the replacement works perfectly.",OR,4,placeholder_category
"Best laptop stand in the whole world, five stars, perfect, amazing, buy it right now!!!",CG,5,placeholder_category
Works as expected. Setup took about ten minutes and the power bank has been reliable so far.,OR,3,placeholder_category
"Great great great, love love love this backpack, will buy again and again!!!",CG,5,placeholder_category
"The coffee maker arrived a day late but works fine. Battery life is shorter than advertised, closer to a few hours less than claimed.",OR,3,placeholder_category
"Incredible value for money, this notebook is simply the best on the market, buy now!!!",CG,5,placeholder_category
"Highly recommended product, super fast delivery, amazing seller, amazing desk lamp, five stars!!!",CG,5,placeholder_category
"I compared this phone case with a similar one from another brand and this one feels more solid, despite costing a bit more.",OR,4,placeholder_category
"Three stars - the face wash works, but the clip started squeaking after a couple of weeks.",OR,4,placeholder_category
"Good running shoes for the gym bag, though it's a little heavier than I expected from the listing photos.",OR,5,placeholder_category
"Not bad for the price. The air fryer is sturdy, though the color was slightly different from the photos online.",OR,4,placeholder_category
"Good face wash for the college dorm, though it's a little heavier than I expected from the listing photos.",OR,4,placeholder_category
"Bought this wireless mouse for my daily commute and it does the job, but the instructions were confusing at first.",OR,3,placeholder_category
"Had to return the first air fryer because of a manufacturing defect, but the replacement works perfectly.",OR,3,placeholder_category
"I compared this laptop stand with a similar one from another brand and this one feels more solid, despite costing a bit more.",OR,2,placeholder_category
"Incredible value for money, this phone case is simply the best on the market, buy now!!!",CG,5,placeholder_category
"This air fryer is AMAZING!!! Best purchase ever, changed my life completely!!!",CG,5,placeholder_category
"Decent yoga mat, but customer support was slow to respond when I had a question about the warranty.",OR,2,placeholder_category
"Decent office chair, but customer support was slow to respond when I had a question about the warranty.",OR,3,placeholder_category
Works as expected. Setup took about ten minutes and the gaming keyboard has been reliable so far.,OR,4,placeholder_category
"My second water bottle from this brand - the first one broke after a year, so hoping this one lasts longer.",OR,3,placeholder_category
"Decent notebook, but customer support was slow to respond when I had a question about the warranty.",OR,3,placeholder_category
"Super duper amazing gaming keyboard, exceeded expectations, will recommend to all my friends and family!!!",CG,1,placeholder_category
"I've been using this camera tripod for about three weeks now and overall it holds up well, though the handle feels a bit flimsy.",OR,3,placeholder_category
"Incredible value for money, this kitchen blender is simply the best on the market, buy now!!!",CG,5,placeholder_category
"The notebook is okay - does what it says, nothing special, but no complaints after two months of daily use.",OR,3,placeholder_category
"Incredible value for money, this laptop stand is simply the best on the market, buy now!!!",CG,1,placeholder_category
"I've been using this gaming keyboard for about three weeks now and overall it holds up well, though the strap feels a bit flimsy.",OR,4,placeholder_category
"My second wireless mouse from this brand - the first one broke after a year, so hoping this one lasts longer.",OR,4,placeholder_category
"The backpack is okay - does what it says, nothing special, but no complaints after two months of daily use.",OR,2,placeholder_category
"Great great great, love love love this running shoes, will buy again and again!!!",CG,5,placeholder_category
"Decent kitchen blender, but customer support was slow to respond when I had a question about the warranty.",OR,5,placeholder_category
"Good running shoes for the home office, though it's a little heavier than I expected from the listing photos.",OR,3,placeholder_category
"Incredible value for money, this gaming keyboard is simply the best on the market, buy now!!!",CG,1,placeholder_category
Works as expected. Setup took about ten minutes and the kitchen blender has been reliable so far.,OR,4,placeholder_category
"I've been using this office chair for about three weeks now and overall it holds up well, though the clip feels a bit flimsy.",OR,2,placeholder_category
"Five stars!!! This office chair exceeded all my expectations, absolutely perfect in every way!!!",CG,5,placeholder_category
"The wireless mouse is okay - does what it says, nothing special, but no complaints after two months of daily use.",OR,4,placeholder_category
"This coffee maker is a total game changer!!! Amazing amazing amazing, worth every penny!!!",CG,5,placeholder_category
"Outstanding quality outstanding service outstanding desk lamp, best in class, must buy!!!",CG,1,placeholder_category
"The gaming keyboard arrived a day late but works fine. Battery life is shorter than advertised, closer to a few hours less than claimed.",OR,2,placeholder_category
"Incredible value for money, this air fryer is simply the best on the market, buy now!!!",CG,1,placeholder_category
"Had to return the first kitchen blender because of a manufacturing defect, but the replacement works perfectly.",OR,3,placeholder_category
"This yoga mat is a total game changer!!! Amazing amazing amazing, worth every penny!!!",CG,5,placeholder_category
"Five stars!!! This wall charger exceeded all my expectations, absolutely perfect in every way!!!",CG,5,placeholder_category
"This coffee maker is AMAZING!!! Best purchase ever, changed my life completely!!!",CG,1,placeholder_category
"Perfect perfect perfect, no flaws whatsoever, this running shoes is pure perfection!!!",CG,5,placeholder_category
"Highly recommended product, super fast delivery, amazing seller, amazing running shoes, five stars!!!",CG,1,placeholder_category
"Had to return the first water bottle because of a manufacturing defect, but the replacement works perfectly.",OR,3,placeholder_category
"Not bad for the price. The bluetooth earbuds is sturdy, though the color was slightly different from the photos online.",OR,4,placeholder_category
"Great great great, love love love this running shoes, will buy again and again!!!",CG,5,placeholder_category
"Decent face wash, but customer support was slow to respond when I had a question about the warranty.",OR,2,placeholder_category
"Good coffee maker for the gym bag, though it's a little heavier than I expected from the listing photos.",OR,3,placeholder_category
"Not bad for the price. The gaming keyboard is sturdy, though the color was slightly different from the photos online.",OR,4,placeholder_category
"Decent phone case, but customer support was slow to respond when I had a question about the warranty.",OR,4,placeholder_category
"Had to return the first power bank because of a manufacturing defect, but the replacement works perfectly.",OR,2,placeholder_category
"This power bank is a total game changer!!! Amazing amazing amazing, worth every penny!!!",CG,5,placeholder_category
"I compared this wrist watch with a similar one from another brand and this one feels more solid, despite costing a bit more.",OR,4,placeholder_category
Works as expected. Setup took about ten minutes and the gaming keyboard has been reliable so far.,OR,2,placeholder_category
"Bought this coffee maker for my daily commute and it does the job, but the instructions were confusing at first.",OR,3,placeholder_category
"Highly recommended product, super fast delivery, amazing seller, amazing power bank, five stars!!!",CG,5,placeholder_category
"Three stars - the camera tripod works, but the hinge started squeaking after a couple of weeks.",OR,5,placeholder_category
"Great great great, love love love this laptop stand, will buy again and again!!!",CG,1,placeholder_category
"I've been using this face wash for about three weeks now and overall it holds up well, though the lid feels a bit flimsy.",OR,4,placeholder_category
"My second bluetooth earbuds from this brand - the first one broke after a year, so hoping this one lasts longer.",OR,5,placeholder_category
"Super duper amazing face wash, exceeded expectations, will recommend to all my friends and family!!!",CG,5,placeholder_category
"Five stars!!! This wireless mouse exceeded all my expectations, absolutely perfect in every way!!!",CG,5,placeholder_category
"Highly recommended product, super fast delivery, amazing seller, amazing kitchen blender, five stars!!!",CG,1,placeholder_category
"My second wall charger from this brand - the first one broke after a year, so hoping this one lasts longer.",OR,4,placeholder_category
"Perfect perfect perfect, no flaws whatsoever, this air fryer is pure perfection!!!",CG,5,placeholder_category
"Highly recommended product, super fast delivery, amazing seller, amazing wall charger, five stars!!!",CG,5,placeholder_category
Excellent product highly recommend to everyone amazing quality fast shipping perfect!!!,CG,5,placeholder_category
"Best kitchen blender in the whole world, five stars, perfect, amazing, buy it right now!!!",CG,5,placeholder_category
"Decent wireless mouse, but customer support was slow to respond when I had a question about the warranty.",OR,2,placeholder_category
"Bought this water bottle for my college dorm and it does the job, but the instructions were confusing at first.",OR,3,placeholder_category
"Outstanding quality outstanding service outstanding notebook, best in class, must buy!!!",CG,1,placeholder_category
"Incredible value for money, this bluetooth earbuds is simply the best on the market, buy now!!!",CG,5,placeholder_category
"Great great great, love love love this kitchen blender, will buy again and again!!!",CG,5,placeholder_category
"Highly recommended product, super fast delivery, amazing seller, amazing water bottle, five stars!!!",CG,5,placeholder_category
"The face wash arrived a day late but works fine. Battery life is shorter than advertised, closer to a few hours less than claimed.",OR,3,placeholder_category
"The air fryer is okay - does what it says, nothing special, but no complaints after two months of daily use.",OR,3,placeholder_category
"Had to return the first coffee maker because of a manufacturing defect, but the replacement works perfectly.",OR,2,placeholder_category
"Five stars!!! This notebook exceeded all my expectations, absolutely perfect in every way!!!",CG,5,placeholder_category
"This air fryer is a total game changer!!! Amazing amazing amazing, worth every penny!!!",CG,5,placeholder_category
Excellent product highly recommend to everyone amazing quality fast shipping perfect!!!,CG,5,placeholder_category
"Three stars - the backpack works, but the strap started squeaking after a couple of weeks.",OR,3,placeholder_category
"I compared this backpack with a similar one from another brand and this one feels more solid, despite costing a bit more.",OR,4,placeholder_category
"Good coffee maker for the college dorm, though it's a little heavier than I expected from the listing photos.",OR,2,placeholder_category
"Incredible value for money, this air fryer is simply the best on the market, buy now!!!",CG,5,placeholder_category
"My second yoga mat from this brand - the first one broke after a year, so hoping this one lasts longer.",OR,3,placeholder_category
"Wow just wow, this yoga mat is a game changer, everyone needs one, super amazing!!!",CG,5,placeholder_category
"This power bank is AMAZING!!! Best purchase ever, changed my life completely!!!",CG,5,placeholder_category
Excellent product highly recommend to everyone amazing quality fast shipping perfect!!!,CG,5,placeholder_category
"Five stars!!! This kitchen blender exceeded all my expectations, absolutely perfect in every way!!!",CG,5,placeholder_category
Excellent product highly recommend to everyone amazing quality fast shipping perfect!!!,CG,1,placeholder_category
"Three stars - the coffee maker works, but the clip started squeaking after a couple of weeks.",OR,3,placeholder_category
"Had to return the first bluetooth earbuds because of a manufacturing defect, but the replacement works perfectly.",OR,3,placeholder_category
"Good office chair for the home office, though it's a little heavier than I expected from the listing photos.",OR,5,placeholder_category
"I've been using this office chair for about three weeks now and overall it holds up well, though the button feels a bit flimsy.",OR,3,placeholder_category
"This wrist watch is AMAZING!!! Best purchase ever, changed my life completely!!!",CG,5,placeholder_category
"Good yoga mat for the college dorm, though it's a little heavier than I expected from the listing photos.",OR,3,placeholder_category
"Super duper amazing office chair, exceeded expectations, will recommend to all my friends and family!!!",CG,5,placeholder_category
"Five stars!!! This kitchen blender exceeded all my expectations, absolutely perfect in every way!!!",CG,5,placeholder_category
"Super duper amazing camera tripod, exceeded expectations, will recommend to all my friends and family!!!",CG,1,placeholder_category
"I've been using this wireless mouse for about three weeks now and overall it holds up well, though the handle feels a bit flimsy.",OR,2,placeholder_category
"This wireless mouse is AMAZING!!! Best purchase ever, changed my life completely!!!",CG,5,placeholder_category
"Good gaming keyboard for the daily commute, though it's a little heavier than I expected from the listing photos.",OR,5,placeholder_category
"My second yoga mat from this brand - the first one broke after a year, so hoping this one lasts longer.",OR,3,placeholder_category
"The running shoes arrived a day late but works fine. Battery life is shorter than advertised, closer to a few hours less than claimed.",OR,4,placeholder_category
"The power bank is okay - does what it says, nothing special, but no complaints after two months of daily use.",OR,2,placeholder_category
"My second bluetooth earbuds from this brand - the first one broke after a year, so hoping this one lasts longer.",OR,3,placeholder_category
"Great great great, love love love this water bottle, will buy again and again!!!",CG,1,placeholder_category
"Super duper amazing desk lamp, exceeded expectations, will recommend to all my friends and family!!!",CG,5,placeholder_category
"The phone case is okay - does what it says, nothing special, but no complaints after two months of daily use.",OR,2,placeholder_category
"Best bluetooth earbuds in the whole world, five stars, perfect, amazing, buy it right now!!!",CG,5,placeholder_category
Excellent product highly recommend to everyone amazing quality fast shipping perfect!!!,CG,5,placeholder_category
"Great great great, love love love this notebook, will buy again and again!!!",CG,5,placeholder_category
"Had to return the first camera tripod because of a manufacturing defect, but the replacement works perfectly.",OR,3,placeholder_category
"I've been using this gaming keyboard for about three weeks now and overall it holds up well, though the hinge feels a bit flimsy.",OR,3,placeholder_category
"Decent air fryer, but customer support was slow to respond when I had a question about the warranty.",OR,4,placeholder_category
"Outstanding quality outstanding service outstanding bluetooth earbuds, best in class, must buy!!!",CG,5,placeholder_category
"Five stars!!! This wrist watch exceeded all my expectations, absolutely perfect in every way!!!",CG,5,placeholder_category
"I compared this kitchen blender with a similar one from another brand and this one feels more solid, despite costing a bit more.",OR,3,placeholder_category
"Good yoga mat for the daily commute, though it's a little heavier than I expected from the listing photos.",OR,3,placeholder_category
"Decent running shoes, but customer support was slow to respond when I had a question about the warranty.",OR,4,placeholder_category
"Had to return the first water bottle because of a manufacturing defect, but the replacement works perfectly.",OR,3,placeholder_category
"Good coffee maker for the gym bag, though it's a little heavier than I expected from the listing photos.",OR,5,placeholder_category
"Great great great, love love love this kitchen blender, will buy again and again!!!",CG,5,placeholder_category
"Incredible value for money, this gaming keyboard is simply the best on the market, buy now!!!",CG,5,placeholder_category
"Super duper amazing office chair, exceeded expectations, will recommend to all my friends and family!!!",CG,5,placeholder_category
Works as expected. Setup took about ten minutes and the coffee maker has been reliable so far.,OR,4,placeholder_category
"Three stars - the camera tripod works, but the handle started squeaking after a couple of weeks.",OR,4,placeholder_category
"Highly recommended product, super fast delivery, amazing seller, amazing wall charger, five stars!!!",CG,5,placeholder_category
"Had to return the first gaming keyboard because of a manufacturing defect, but the replacement works perfectly.",OR,4,placeholder_category
"Not bad for the price. The notebook is sturdy, though the color was slightly different from the photos online.",OR,4,placeholder_category
"Good gaming keyboard for the gym bag, though it's a little heavier than I expected from the listing photos.",OR,2,placeholder_category
"Had to return the first backpack because of a manufacturing defect, but the replacement works perfectly.",OR,2,placeholder_category
"This power bank is a total game changer!!! Amazing amazing amazing, worth every penny!!!",CG,5,placeholder_category
Works as expected. Setup took about ten minutes and the yoga mat has been reliable so far.,OR,3,placeholder_category
"Best power bank in the whole world, five stars, perfect, amazing, buy it right now!!!",CG,5,placeholder_category
"Incredible value for money, this gaming keyboard is simply the best on the market, buy now!!!",CG,5,placeholder_category
"Great great great, love love love this face wash, will buy again and again!!!",CG,1,placeholder_category
"The water bottle is okay - does what it says, nothing special, but no complaints after two months of daily use.",OR,4,placeholder_category
"Not bad for the price. The air fryer is sturdy, though the color was slightly different from the photos online.",OR,5,placeholder_category
"The power bank arrived a day late but works fine. Battery life is shorter than advertised, closer to a few hours less than claimed.",OR,4,placeholder_category
"Good notebook for the home office, though it's a little heavier than I expected from the listing photos.",OR,3,placeholder_category
"I compared this gaming keyboard with a similar one from another brand and this one feels more solid, despite costing a bit more.",OR,4,placeholder_category
"Great great great, love love love this yoga mat, will buy again and again!!!",CG,5,placeholder_category
"Super duper amazing desk lamp, exceeded expectations, will recommend to all my friends and family!!!",CG,5,placeholder_category
"Not bad for the price. The water bottle is sturdy, though the color was slightly different from the photos online.",OR,4,placeholder_category
"I've been using this wall charger for about three weeks now and overall it holds up well, though the hinge feels a bit flimsy.",OR,2,placeholder_category
"Perfect perfect perfect, no flaws whatsoever, this running shoes is pure perfection!!!",CG,1,placeholder_category
"I compared this wireless mouse with a similar one from another brand and this one feels more solid, despite costing a bit more.",OR,4,placeholder_category
"Decent desk lamp, but customer support was slow to respond when I had a question about the warranty.",OR,3,placeholder_category
"Bought this power bank for my daily commute and it does the job, but the instructions were confusing at first.",OR,4,placeholder_category
"The running shoes is okay - does what it says, nothing special, but no complaints after two months of daily use.",OR,2,placeholder_category
"Decent yoga mat, but customer support was slow to respond when I had a question about the warranty.",OR,4,placeholder_category
"Bought this face wash for my kitchen and it does the job, but the instructions were confusing at first.",OR,4,placeholder_category
"Bought this bluetooth earbuds for my daily commute and it does the job, but the instructions were confusing at first.",OR,2,placeholder_category
"Outstanding quality outstanding service outstanding face wash, best in class, must buy!!!",CG,5,placeholder_category
"My second wrist watch from this brand - the first one broke after a year, so hoping this one lasts longer.",OR,4,placeholder_category
"Decent power bank, but customer support was slow to respond when I had a question about the warranty.",OR,4,placeholder_category
"Great great great, love love love this kitchen blender, will buy again and again!!!",CG,5,placeholder_category
"Best phone case in the whole world, five stars, perfect, amazing, buy it right now!!!",CG,5,placeholder_category
"The notebook arrived a day late but works fine. Battery life is shorter than advertised, closer to a few hours less than claimed.",OR,3,placeholder_category
"This wrist watch is a total game changer!!! Amazing amazing amazing, worth every penny!!!",CG,5,placeholder_category
"Wow just wow, this wireless mouse is a game changer, everyone needs one, super amazing!!!",CG,1,placeholder_category
"This backpack is AMAZING!!! Best purchase ever, changed my life completely!!!",CG,5,placeholder_category
"I compared this wrist watch with a similar one from another brand and this one feels more solid, despite costing a bit more.",OR,4,placeholder_category
"Five stars!!! This gaming keyboard exceeded all my expectations, absolutely perfect in every way!!!",CG,5,placeholder_category
"This wireless mouse is a total game changer!!! Amazing amazing amazing, worth every penny!!!",CG,5,placeholder_category
"Decent water bottle, but customer support was slow to respond when I had a question about the warranty.",OR,5,placeholder_category
"Great great great, love love love this gaming keyboard, will buy again and again!!!",CG,5,placeholder_category
"I compared this backpack with a similar one from another brand and this one feels more solid, despite costing a bit more.",OR,4,placeholder_category
"Five stars!!! This camera tripod exceeded all my expectations, absolutely perfect in every way!!!",CG,5,placeholder_category
"I've been using this wrist watch for about three weeks now and overall it holds up well, though the button feels a bit flimsy.",OR,4,placeholder_category
"Perfect perfect perfect, no flaws whatsoever, this camera tripod is pure perfection!!!",CG,5,placeholder_category
"Good power bank for the daily commute, though it's a little heavier than I expected from the listing photos.",OR,3,placeholder_category
"Highly recommended product, super fast delivery, amazing seller, amazing wireless mouse, five stars!!!",CG,1,placeholder_category
"I've been using this yoga mat for about three weeks now and overall it holds up well, though the button feels a bit flimsy.",OR,3,placeholder_category
"Wow just wow, this gaming keyboard is a game changer, everyone needs one, super amazing!!!",CG,5,placeholder_category
"Outstanding quality outstanding service outstanding air fryer, best in class, must buy!!!",CG,5,placeholder_category
"Five stars!!! This wrist watch exceeded all my expectations, absolutely perfect in every way!!!",CG,5,placeholder_category
Excellent product highly recommend to everyone amazing quality fast shipping perfect!!!,CG,5,placeholder_category
"Super duper amazing wireless mouse, exceeded expectations, will recommend to all my friends and family!!!",CG,5,placeholder_category
"Great great great, love love love this phone case, will buy again and again!!!",CG,5,placeholder_category
"Wow just wow, this gaming keyboard is a game changer, everyone needs one, super amazing!!!",CG,1,placeholder_category
"This yoga mat is a total game changer!!! Amazing amazing amazing, worth every penny!!!",CG,5,placeholder_category
"I compared this backpack with a similar one from another brand and this one feels more solid, despite costing a bit more.",OR,3,placeholder_category
"I've been using this desk lamp for about three weeks now and overall it holds up well, though the casing feels a bit flimsy.",OR,5,placeholder_category
"Outstanding quality outstanding service outstanding wall charger, best in class, must buy!!!",CG,5,placeholder_category
"Great great great, love love love this wireless mouse, will buy again and again!!!",CG,5,placeholder_category
"This desk lamp is a total game changer!!! Amazing amazing amazing, worth every penny!!!",CG,1,placeholder_category
"Great great great, love love love this kitchen blender, will buy again and again!!!",CG,5,placeholder_category
"This running shoes is AMAZING!!! Best purchase ever, changed my life completely!!!",CG,5,placeholder_category
"Great great great, love love love this office chair, will buy again and again!!!",CG,5,placeholder_category
"Perfect perfect perfect, no flaws whatsoever, this face wash is pure perfection!!!",CG,5,placeholder_category
"This backpack is a total game changer!!! Amazing amazing amazing, worth every penny!!!",CG,5,placeholder_category
"Perfect perfect perfect, no flaws whatsoever, this coffee maker is pure perfection!!!",CG,5,placeholder_category
"The phone case is okay - does what it says, nothing special, but no complaints after two months of daily use.",OR,5,placeholder_category
"Incredible value for money, this gaming keyboard is simply the best on the market, buy now!!!",CG,1,placeholder_category
"I've been using this yoga mat for about three weeks now and overall it holds up well, though the lid feels a bit flimsy.",OR,3,placeholder_category
"Wow just wow, this running shoes is a game changer, everyone needs one, super amazing!!!",CG,5,placeholder_category
"The coffee maker arrived a day late but works fine. Battery life is shorter than advertised, closer to a few hours less than claimed.",OR,4,placeholder_category
Excellent product highly recommend to everyone amazing quality fast shipping perfect!!!,CG,5,placeholder_category
"Great great great, love love love this yoga mat, will buy again and again!!!",CG,1,placeholder_category
"Decent bluetooth earbuds, but customer support was slow to respond when I had a question about the warranty.",OR,3,placeholder_category
"Not bad for the price. The water bottle is sturdy, though the color was slightly different from the photos online.",OR,3,placeholder_category
"Good yoga mat for the daily commute, though it's a little heavier than I expected from the listing photos.",OR,5,placeholder_category
"I compared this desk lamp with a similar one from another brand and this one feels more solid, despite costing a bit more.",OR,3,placeholder_category
"Super duper amazing yoga mat, exceeded expectations, will recommend to all my friends and family!!!",CG,5,placeholder_category
"Best air fryer in the whole world, five stars, perfect, amazing, buy it right now!!!",CG,5,placeholder_category
"I've been using this gaming keyboard for about three weeks now and overall it holds up well, though the handle feels a bit flimsy.",OR,2,placeholder_category
"I've been using this air fryer for about three weeks now and overall it holds up well, though the casing feels a bit flimsy.",OR,2,placeholder_category
"I compared this yoga mat with a similar one from another brand and this one feels more solid, despite costing a bit more.",OR,4,placeholder_category
"This face wash is a total game changer!!! Amazing amazing amazing, worth every penny!!!",CG,5,placeholder_category
"The power bank is okay - does what it says, nothing special, but no complaints after two months of daily use.",OR,4,placeholder_category
Excellent product highly recommend to everyone amazing quality fast shipping perfect!!!,CG,5,placeholder_category
"Five stars!!! This backpack exceeded all my expectations, absolutely perfect in every way!!!",CG,5,placeholder_category
"Decent gaming keyboard, but customer support was slow to respond when I had a question about the warranty.",OR,3,placeholder_category
"Not bad for the price. The yoga mat is sturdy, though the color was slightly different from the photos online.",OR,3,placeholder_category
"Best wireless mouse in the whole world, five stars, perfect, amazing, buy it right now!!!",CG,5,placeholder_category
"I compared this backpack with a similar one from another brand and this one feels more solid, despite costing a bit more.",OR,2,placeholder_category
"Incredible value for money, this office chair is simply the best on the market, buy now!!!",CG,5,placeholder_category
"I've been using this kitchen blender for about three weeks now and overall it holds up well, though the lid feels a bit flimsy.",OR,4,placeholder_category
"Not bad for the price. The face wash is sturdy, though the color was slightly different from the photos online.",OR,3,placeholder_category
"Outstanding quality outstanding service outstanding gaming keyboard, best in class, must buy!!!",CG,5,placeholder_category
"Wow just wow, this yoga mat is a game changer, everyone needs one, super amazing!!!",CG,1,placeholder_category
"Five stars!!! This coffee maker exceeded all my expectations, absolutely perfect in every way!!!",CG,5,placeholder_category
"I compared this office chair with a similar one from another brand and this one feels more solid, despite costing a bit more.",OR,2,placeholder_category
"Perfect perfect perfect, no flaws whatsoever, this face wash is pure perfection!!!",CG,5,placeholder_category
"Wow just wow, this yoga mat is a game changer, everyone needs one, super amazing!!!",CG,5,placeholder_category
"Best wireless mouse in the whole world, five stars, perfect, amazing, buy it right now!!!",CG,5,placeholder_category
"The running shoes is okay - does what it says, nothing special, but no complaints after two months of daily use.",OR,3,placeholder_category
"Wow just wow, this gaming keyboard is a game changer, everyone needs one, super amazing!!!",CG,5,placeholder_category
"Great great great, love love love this coffee maker, will buy again and again!!!",CG,5,placeholder_category
"Not bad for the price. The camera tripod is sturdy, though the color was slightly different from the photos online.",OR,3,placeholder_category
"The kitchen blender arrived a day late but works fine. Battery life is shorter than advertised, closer to a few hours less than claimed.",OR,3,placeholder_category
"Great great great, love love love this power bank, will buy again and again!!!",CG,1,placeholder_category
"Good water bottle for the gym bag, though it's a little heavier than I expected from the listing photos.",OR,5,placeholder_category
